Image_name,UT_id,date_only(YYYY-MM-DD)
UT75-12D_11_04_12.JPG,UT75-12D,2012-11-04
UT75-12D_11_05_12.JPG,UT75-12D,2012-11-05
UT75-12D_11_06_12.JPG,UT75-12D,2012-11-06
UT75-12D_11_07_12.JPG,UT75-12D,2012-11-07
UT75-12D_11_08_12.JPG,UT75-12D,2012-11-08
UT75-12D_11_09_12.JPG,UT75-12D,2012-11-09
UT75-12D_11_10_12.JPG,UT75-12D,2012-11-10
UT75-12D_11_11_12.JPG,UT75-12D,2012-11-11
UT75-12D_11_12_12.JPG,UT75-12D,2012-11-12
UT75-12D_11_15_12.JPG,UT75-12D,2012-11-15
UT75-12D_11_22_12.JPG,UT75-12D,2012-11-22
UT75-12D_11_23_12.JPG,UT75-12D,2012-11-23
UT75-12D_11_24_12.JPG,UT75-12D,2012-11-24
UT75-12D_11_25_12.JPG,UT75-12D,2012-11-25
UT75-12D_11_30_12.JPG,UT75-12D,2012-11-30
UT75-12D_12_03_12.JPG,UT75-12D,2012-12-03
UT75-13D_01_01_14.JPG,UT75-13D,2014-01-01
UT75-13D_01_02_14.JPG,UT75-13D,2014-01-02
UT75-13D_01_03_14.JPG,UT75-13D,2014-01-03
UT75-13D_01_04_14.JPG,UT75-13D,2014-01-04
UT75-13D_01_05_14.JPG,UT75-13D,2014-01-05
UT75-13D_01_06_14.JPG,UT75-13D,2014-01-06
UT75-13D_01_07_14.JPG,UT75-13D,2014-01-07
UT75-13D_01_08_14.JPG,UT75-13D,2014-01-08
UT75-13D_01_09_14.JPG,UT75-13D,2014-01-09
UT75-13D_01_10_14.JPG,UT75-13D,2014-01-10
UT75-13D_01_11_14.JPG,UT75-13D,2014-01-11
UT75-13D_01_12_14.JPG,UT75-13D,2014-01-12
UT75-13D_01_13_14.JPG,UT75-13D,2014-01-13
UT75-13D_01_14_14.JPG,UT75-13D,2014-01-14
UT75-13D_01_15_14.JPG,UT75-13D,2014-01-15
UT75-13D_01_16_14.JPG,UT75-13D,2014-01-16
UT75-13D_01_17_14.JPG,UT75-13D,2014-01-17
UT75-13D_01_18_14.JPG,UT75-13D,2014-01-18
UT75-13D_01_19_14.JPG,UT75-13D,2014-01-19
UT75-13D_01_20_14.JPG,UT75-13D,2014-01-20
UT75-13D_01_21_14.JPG,UT75-13D,2014-01-21
UT75-13D_01_22_14.JPG,UT75-13D,2014-01-22
UT75-13D_01_23_14.JPG,UT75-13D,2014-01-23
UT75-13D_12_19_13.JPG,UT75-13D,2013-12-19
UT75-13D_12_20_13.JPG,UT75-13D,2013-12-20
UT75-13D_12_21_13.JPG,UT75-13D,2013-12-21
UT75-13D_12_22_13.JPG,UT75-13D,2013-12-22
UT75-13D_12_23_13.JPG,UT75-13D,2013-12-23
UT75-13D_12_24_13.JPG,UT75-13D,2013-12-24
UT75-13D_12_25_13.JPG,UT75-13D,2013-12-25
UT75-13D_12_26_13.JPG,UT75-13D,2013-12-26
UT75-13D_12_27_13.JPG,UT75-13D,2013-12-27
UT75-13D_12_28_13.JPG,UT75-13D,2013-12-28
UT75-13D_12_29_13.JPG,UT75-13D,2013-12-29
UT75-13D_12_30_13.JPG,UT75-13D,2013-12-30
UT75-13D_12_31_13.JPG,UT75-13D,2013-12-31
UT75-14D_08_25_2014.JPG,UT75-14D,2014-08-25
UT75-14D_08_26_2014.JPG,UT75-14D,2014-08-26
UT75-14D_08_27_2014.JPG,UT75-14D,2014-08-27
UT75-14D_08_28_2014.JPG,UT75-14D,2014-08-28
UT75-14D_08_29_2014.JPG,UT75-14D,2014-08-29
UT75-14D_08_30_2014.JPG,UT75-14D,2014-08-30
UT75-14D_08_31_2014.JPG,UT75-14D,2014-08-31
UT75-14D_09_01_2014.JPG,UT75-14D,2014-09-01
UT75-14D_09_02_2014.JPG,UT75-14D,2014-09-02
UT75-14D_09_03_2014.JPG,UT75-14D,2014-09-03
UT75-14D_09_05_2014.JPG,UT75-14D,2014-09-05
UT75-14D_09_06_2014.JPG,UT75-14D,2014-09-06
