image_name,max_date,min_date,ADD_temp,ADD_humidity,ADD_wind_speed
UT01-13D_06_06_13.JPG,2013-06-06,2013-01-23,38404.753132717575,7620.456118409671,267.43407988481306
UT01-13D_06_07_13.JPG,2013-06-07,2013-01-23,38698.821594256035,7709.7253491789015,268.3956183463515
UT01-13D_06_08_13.JPG,2013-06-08,2013-01-23,38995.60594208212,7792.8123057006405,269.22170530287326
UT01-13D_06_09_13.JPG,2013-06-09,2013-01-23,39290.51394208212,7875.912305700641,270.47170530287326
UT01-13D_06_10_13.JPG,2013-06-10,2013-01-23,39585.875608748785,7953.078972367308,271.47170530287326
UT01-13D_06_11_13.JPG,2013-06-11,2013-01-23,39881.853336021515,8042.715336003672,274.2444325756005
UT01-13D_06_12_13.JPG,2013-06-12,2013-01-23,40178.952136021515,8132.155336003671,275.6844325756005
UT01-13D_06_13_13.JPG,2013-06-13,2013-01-23,40478.550636021515,8207.428063276398,277.5026143937823
UT01-13D_06_14_13.JPG,2013-06-14,2013-01-23,40777.53954511242,8289.200790549126,280.22988712105507
UT01-13D_06_15_13.JPG,2013-06-15,2013-01-23,41071.919936416765,8369.679051418692,282.0559740775768
UT01-13D_06_16_13.JPG,2013-06-16,2013-01-23,41366.4567697501,8443.304051418692,283.63930741091013
UT01-13D_06_17_13.JPG,2013-06-17,2013-01-23,41662.73411757618,8517.347529679562,285.85669871525795
UT01-13D_06_18_13.JPG,2013-06-18,2013-01-23,41959.01811757618,8605.311815393849,287.3924130009722
UT01-13D_06_19_13.JPG,2013-06-19,2013-01-23,42253.687062020625,8697.42292650496,289.94796855652777
UT01-13D_06_20_13.JPG,2013-06-20,2013-01-23,42549.11067740524,8783.96138804342,291.2556608642201
UT01-13D_06_22_13.JPG,2013-06-22,2013-01-23,43136.86072026238,8964.36138804342,293.32708943564865
UT01-13D_06_23_13.JPG,2013-06-23,2013-01-23,43432.74910487777,9049.207541889575,294.32708943564865
UT01-13D_06_30_13.JPG,2013-06-30,2013-01-23,45510.757365095764,9646.317811926445,306.5457567444694
UT01-13D_07_03_13.JPG,2013-07-03,2013-01-23,46397.41114236849,9889.145084653717,311.1412112899239
UT01-13D_07_05_13.JPG,2013-07-05,2013-01-23,46985.94027951134,10078.160322748956,314.15263986135244
UT01-13D_07_28_13.JPG,2013-07-28,2013-01-23,53813.54158570779,12068.041487480476,353.8833523067192
UT01-13D_08_09_13.JPG,2013-08-09,2013-01-23,57358.498734372784,13069.575400302523,369.67772094745607
UT01-13D_09_23_13.JPG,2013-09-23,2013-01-23,70334.76314066544,16698.985848172302,436.47905414360895
UT01-14D_01_10_14.JPG,2014-01-10,2014-01-10,277.91073913043476,74.95652173913044,1.0434782608695652
UT01-14D_01_11_14.JPG,2014-01-11,2014-01-10,561.4062703804348,158.30027173913044,2.9184782608695654
UT01-14D_01_12_14.JPG,2014-01-12,2014-01-10,842.1057051630434,227.7350543478261,4.396739130434783
UT01-14D_01_13_14.JPG,2014-01-13,2014-01-10,1120.6199908773292,300.1636257763975,5.5395962732919255
UT01-14D_01_14_14.JPG,2014-01-14,2014-01-10,1401.2514908773292,383.2790103917821,6.6549808886765405
UT01-14D_01_15_14.JPG,2014-01-15,2014-01-10,1679.304615877329,452.1540103917821,7.821647555343207
UT01-14D_01_16_14.JPG,2014-01-16,2014-01-10,1951.4193527194343,515.3645367075716,9.295331765869523
UT01-14D_01_17_14.JPG,2014-01-17,2014-01-10,2231.9034777194342,579.1145367075716,11.503665099202857
UT01-14D_01_18_14.JPG,2014-01-18,2014-01-10,2514.6004777194344,652.1145367075716,12.503665099202857
UT01-14D_01_19_14.JPG,2014-01-19,2014-01-10,2795.1081733716082,719.7667106206151,13.981925968768074
UT01-14D_01_20_14.JPG,2014-01-20,2014-01-10,3075.7196019430367,784.671472525377,15.934306921149027
UT01-14D_01_21_14.JPG,2014-01-21,2014-01-10,3353.5262686097035,848.9631391920436,18.434306921149027
UT01-14D_01_22_14.JPG,2014-01-22,2014-01-10,3618.88293527637,908.5345677634722,19.624783111625216
UT01-14D_01_23_14.JPG,2014-01-23,2014-01-10,3886.9934114668463,972.4393296682341,21.053354540196644
UT01-14D_01_24_14.JPG,2014-01-24,2014-01-10,4150.2813062036885,1031.8077507208657,22.316512434933486
UT01-14D_01_25_14.JPG,2014-01-25,2014-01-10,4419.732258584641,1087.4267983399134,24.60222672064777
UT01-14D_01_26_14.JPG,2014-01-26,2014-01-10,4695.192713130096,1140.2449801580951,28.874953993375044
UT01-14D_01_27_14.JPG,2014-01-27,2014-01-10,4974.30604646343,1177.5783134914284,33.70828732670838
UT01-14D_01_28_14.JPG,2014-01-28,2014-01-10,5240.33604646343,1229.2866468247616,37.916620660041715
UT01-14D_01_29_14.JPG,2014-01-29,2014-01-10,5502.97979646343,1286.5366468247616,39.916620660041715
UT01-14D_01_30_14.JPG,2014-01-30,2014-01-10,5767.763129796764,1344.2033134914284,40.20828732670838
UT01-14D_01_31_14.JPG,2014-01-31,2014-01-10,6040.062713130097,1393.4949801580951,41.291620660041715
UT01-14D_02_01_14.JPG,2014-02-01,2014-01-10,6316.996463130097,1419.6199801580951,42.541620660041715
UT01-14D_02_02_14.JPG,2014-02-02,2014-01-10,6597.443546463431,1497.9949801580951,43.87495399337505
UT01-14D_02_03_14.JPG,2014-02-03,2014-01-10,6875.490213130098,1584.8699801580951,47.041620660041715
UT01-14D_02_04_14.JPG,2014-02-04,2014-01-10,7153.556463130098,1663.3699801580951,49.33328732670838
UT01-14D_02_05_14.JPG,2014-02-05,2014-01-10,7433.468963130098,1747.5783134914284,53.416620660041715
UT01-14D_02_06_14.JPG,2014-02-06,2014-01-10,7705.280213130098,1805.6616468247616,56.74995399337505
UT01-14D_02_07_14.JPG,2014-02-07,2014-01-10,7977.6331297967645,1864.2866468247616,58.49995399337505
UT01-14D_02_08_14.JPG,2014-02-08,2014-01-10,8252.907713130098,1927.4533134914284,59.83328732670839
UT01-14D_02_09_14.JPG,2014-02-09,2014-01-10,8530.548129796765,1997.8283134914284,62.41662066004172
UT01-14D_02_10_14.JPG,2014-02-10,2014-01-10,8805.903129796765,2070.828313491428,65.74995399337506
UT01-14D_02_11_14.JPG,2014-02-11,2014-01-10,9079.282296463432,2124.7449801580947,69.83328732670839
UT01-14D_02_12_14.JPG,2014-02-12,2014-01-10,9353.081879796766,2169.411646824761,72.95828732670839
UT01-14D_02_13_14.JPG,2014-02-13,2014-01-10,9627.254796463432,2248.911646824761,75.41662066004172
UT01-14D_02_14_14.JPG,2014-02-14,2014-01-10,9903.796879796766,2297.7033134914277,80.54162066004172
UT01-14D_02_15_14.JPG,2014-02-15,2014-01-10,10179.219796463432,2366.119980158094,84.54162066004172
UT01-14D_02_16_14.JPG,2014-02-16,2014-01-10,10455.093963130099,2435.0366468247607,86.41662066004172
UT01-14D_02_17_14.JPG,2014-02-17,2014-01-10,10734.431046463433,2493.3283134914273,89.49995399337504
UT01-14D_02_18_14.JPG,2014-02-18,2014-01-10,11016.283129796766,2540.3283134914273,92.95828732670837
UT01-14D_02_19_14.JPG,2014-02-19,2014-01-10,11304.468963130099,2601.1616468247607,97.20828732670837
UT01-14D_02_20_14.JPG,2014-02-20,2014-01-10,11593.322296463431,2668.9116468247607,101.12495399337504
